Filename,Quality_Label,MQ-3_R1 (kOhm)_mean,MQ-3_R1 (kOhm)_std,MQ-3_R1 (kOhm)_min,MQ-3_R1 (kOhm)_max,MQ-3_R1 (kOhm)_median,MQ-4_R1 (kOhm)_mean,MQ-4_R1 (kOhm)_std,MQ-4_R1 (kOhm)_min,MQ-4_R1 (kOhm)_max,MQ-4_R1 (kOhm)_median,MQ-6_R1 (kOhm)_mean,MQ-6_R1 (kOhm)_std,MQ-6_R1 (kOhm)_min,MQ-6_R1 (kOhm)_max,MQ-6_R1 (kOhm)_median,MQ-3_R2 (kOhm)_mean,MQ-3_R2 (kOhm)_std,MQ-3_R2 (kOhm)_min,MQ-3_R2 (kOhm)_max,MQ-3_R2 (kOhm)_median,MQ-4_R2 (kOhm)_mean,MQ-4_R2 (kOhm)_std,MQ-4_R2 (kOhm)_min,MQ-4_R2 (kOhm)_max,MQ-4_R2 (kOhm)_median,MQ-6_R2 (kOhm)_mean,MQ-6_R2 (kOhm)_std,MQ-6_R2 (kOhm)_min,MQ-6_R2 (kOhm)_max,MQ-6_R2 (kOhm)_median
LQ_Wine02-B03_R06.txt,LQ,2.724207491166078,2.2444940129798274,0.909,9.19,1.5758,17.875180070671377,7.148927153918343,10.6595,33.514,14.544,26.549237314487634,16.712352308967937,11.0651,67.1736,19.20595,7.411925512367491,3.9671500950847665,3.9454,18.5084,5.6281,12.430400812720848,5.796012600903289,6.5555,25.8197,10.09385,19.482381872791517,12.336751677121882,7.6625,49.9713,14.56445
LQ_Wine11-B04_R01.txt,LQ,2.152611696113074,2.177824207032064,0.4268,8.3381,0.9962500000000001,17.908657243816254,7.054550766617198,10.7362,33.0055,14.65835,28.129079293286217,17.225677487467685,11.8831,69.2497,20.68635,6.2751122614841,3.945320052331444,2.9214,17.2631,4.43105,12.371185971731448,5.78739248279414,6.5318,25.5122,9.9924,19.83113148409894,12.696681492673857,7.709,50.6459,14.71995
LQ_Wine12-B01_R05.txt,LQ,3.160091978798587,2.63289403000388,0.9908,10.532,1.7631000000000001,20.201348409893995,7.374453237718806,12.2833,35.6538,17.0723,30.940153074204947,17.66089780573312,13.2164,72.4075,24.0251,8.543156183745582,4.626500405281085,4.3973,21.2412,6.5153,14.174996996466433,6.338995063735057,7.4284,28.5078,11.84915,23.042772296819788,13.475542703704354,9.1757,55.1668,17.906350000000003
LQ_Wine11-B01_R03.txt,LQ,2.401961130742049,2.300450677446766,0.5038,8.8765,1.202,18.467711696113074,7.135975874832679,11.0837,33.6762,15.255849999999999,28.86952865724382,16.979262166361096,12.2438,69.5191,21.92915,22.19805190812721,6.868857329933681,15.0411,39.5301,19.4036,12.50613219081272,5.828401890947099,6.5707,25.9716,10.236,21.113765653710253,12.819756879260396,8.46,51.9696,16.0793
LQ_Wine02-B03_R05.txt,LQ,3.197129540636042,2.749169449814437,0.9877,10.8643,1.76555,20.923608480565374,7.281662194304301,13.3871,35.8922,17.5777,33.317665618374555,18.38563400341001,15.5385,75.7918,25.698999999999998,9.25256780918728,4.919634258527789,4.9161,22.7859,7.02745,15.678089081272086,6.211901067249376,9.1322,29.2401,13.3518,24.9333406360424,14.12926005400432,10.8421,58.1598,19.6082
LQ_Wine02-B02_R11.txt,LQ,3.414847173144876,2.3311803870738004,1.4865,10.1183,2.2765,17.43172593639576,7.298604028548273,9.8193,33.6762,14.32535,24.87553342756184,16.310102300243347,9.4663,65.4808,17.91805,10.05027480565371,4.752513077919765,5.7326,23.0284,7.9991,11.08260925795053,5.612706421668803,5.318,24.3433,8.957799999999999,18.149380459363957,11.480468239889069,6.8055,46.8055,13.568999999999999
LQ_Wine02-B01_R02.txt,LQ,3.3433049469964664,2.7831274518075637,1.1375,11.0875,1.8562,21.32399954063604,6.607652769944452,14.1911,34.7311,18.4515,35.03421416961131,17.777813103639996,17.1999,75.3451,28.02935,9.174906254416962,4.916702895046085,4.7934,22.1481,7.0361,15.611991024734985,5.6386374155964445,9.4121,27.9184,13.6201,25.612692756183748,13.527077576657392,11.719,56.7529,20.678350000000002
LQ_Wine02-B02_R02.txt,LQ,3.256740671378092,2.7599922348475525,1.0483,10.9373,1.7531,21.305572685512367,7.311214027451214,13.6793,36.2907,17.9629,34.47443819787985,18.803335874366237,16.1091,77.8244,26.7456,8.616443427561837,4.932975532979651,4.385,22.2857,6.3446,15.402183816254418,6.108659678222411,8.9149,28.8042,13.0725,25.102104028268553,14.030878678589692,10.95,58.2731,19.8251
LQ_Wine10-B05_R09.txt,LQ,3.3347664310954066,2.5836030419454095,1.1721,10.7538,2.04375,19.63862222614841,7.539092069133315,11.4583,35.8818,16.57895,28.60425872791519,17.388739817159838,11.53,70.7891,21.555999999999997,8.620990212014135,4.473598878421263,4.5184,21.0013,6.72425,13.500521024734981,6.181033655068526,6.7758,27.6479,11.36375,21.584778727915197,13.064688854281494,8.2466,53.4926,16.686300000000003
LQ_Wine11-B02_R03.txt,LQ,2.6520497173144877,2.347766557733725,0.7364,9.2988,1.4099,18.7015722614841,6.976716393198017,11.502,33.4665,15.5236,29.17924233215547,17.20155074372027,12.7924,69.8642,21.8585,7.488014381625442,4.192696216396443,3.8099,19.0695,5.60685,12.575158127208482,5.758825529594892,6.5945,25.751,10.29615,20.821449045936397,12.65773610765834,8.561,51.4281,15.7254
