Filename,Concentration_Label,Concentration_Value,MQ-3_R1 (kOhm)_mean,MQ-3_R1 (kOhm)_std,MQ-3_R1 (kOhm)_min,MQ-3_R1 (kOhm)_max,MQ-3_R1 (kOhm)_median,MQ-4_R1 (kOhm)_mean,MQ-4_R1 (kOhm)_std,MQ-4_R1 (kOhm)_min,MQ-4_R1 (kOhm)_max,MQ-4_R1 (kOhm)_median,MQ-6_R1 (kOhm)_mean,MQ-6_R1 (kOhm)_std,MQ-6_R1 (kOhm)_min,MQ-6_R1 (kOhm)_max,MQ-6_R1 (kOhm)_median,MQ-3_R2 (kOhm)_mean,MQ-3_R2 (kOhm)_std,MQ-3_R2 (kOhm)_min,MQ-3_R2 (kOhm)_max,MQ-3_R2 (kOhm)_median,MQ-4_R2 (kOhm)_mean,MQ-4_R2 (kOhm)_std,MQ-4_R2 (kOhm)_min,MQ-4_R2 (kOhm)_max,MQ-4_R2 (kOhm)_median,MQ-6_R2 (kOhm)_mean,MQ-6_R2 (kOhm)_std,MQ-6_R2 (kOhm)_min,MQ-6_R2 (kOhm)_max,MQ-6_R2 (kOhm)_median
Ea-C3_R06.txt,5.0%,5.0,10.305699540636043,6.138708658111462,4.9672,26.9802,7.3801000000000005,35.60972544169611,7.257017020256801,27.131,48.5712,33.1364,67.62621325088338,26.55534671723906,37.0374,122.247,58.77695,23.361930954063602,10.504761076086009,13.0823,51.0819,19.298299999999998,29.4751516254417,8.535030456001532,19.9747,44.7954,26.352600000000002,51.8620751590106,23.410476017710277,26.0756,101.2827,43.9192
Ea-C3_R07.txt,5.0%,5.0,9.839803922261485,5.943618525214413,4.7241,25.9674,6.9412,35.681146466431095,7.464976097322876,27.0145,48.9707,32.9682,67.11505706713781,27.06689782442133,36.4805,123.0447,57.6915,22.7654722614841,10.559228996993484,12.5351,50.7389,18.61215,29.474633851590106,8.302195044882959,20.0731,44.6825,26.26815,51.4733248409894,23.901636348653515,25.6058,102.1806,42.9153
Ea-C3_R08.txt,5.0%,5.0,11.203481554770319,6.396743135087377,5.5089,28.511,8.2654,37.80856480565371,7.157608496552737,28.8278,50.3656,35.659,74.29558268551237,26.783713029806396,41.5364,128.885,66.2277,26.16897593639576,11.447224097168062,14.6706,57.6171,22.091,31.540342579505296,8.077043403936237,21.8571,46.197,28.8396,57.68386236749117,23.851779369086785,29.8631,106.7764,50.4299
Ea-C3_R09.txt,5.0%,5.0,10.378069575971733,6.16422407692866,5.1044,27.0224,7.3485,37.227305229681974,7.499166015915866,28.3609,50.3991,34.52755,71.15082734982332,27.577967228422043,39.686,128.088,61.8044,23.98074992932862,11.17418374794904,13.4065,53.4592,19.433799999999998,30.891121166077735,8.51562189801969,21.2847,46.5087,27.5808,54.92237243816255,24.584842839087088,28.1913,105.955,46.3778
Ea-C3_R10.txt,5.0%,5.0,9.474226395759716,5.7864467610444335,4.4793,25.0734,6.6362,36.30665233215548,7.58996040630438,27.3143,49.9163,33.681,68.24072328621907,27.18279565095067,36.6314,125.0461,59.0554,22.38405070671378,10.485218595533597,12.2576,50.4607,18.2431,29.893084063604245,8.87251617278719,19.9489,46.3302,26.801299999999998,52.768296042402824,23.993909140495894,26.2524,104.0628,44.634100000000004
Ea-C3_R11.txt,5.0%,5.0,11.105101696113074,6.427231529581801,5.5689,28.541,7.9609000000000005,38.3620548409894,7.0602541948819395,29.7494,50.5504,36.085449999999994,75.31704671378093,26.902071952946812,43.0019,130.3682,66.67515,26.0170893639576,11.648120558493531,14.8052,58.1598,21.52825,32.16434770318021,8.129066195339284,22.6824,46.7482,29.3122,58.74981356890459,24.063258682456816,31.3646,108.3517,50.9958
Ea-C4_R01.txt,10.0%,10.0,4.671332049469965,3.6038726332437214,1.768,14.5919,2.7657999999999996,25.201076501766785,8.539422136873842,16.5297,41.9871,21.226750000000003,39.12661508833922,23.46679927608732,16.7368,93.3976,28.868949999999998,11.024780883392227,6.053938437838588,5.7056,27.4633,8.3597,19.04087667844523,8.229083844984439,10.867,36.1537,15.15905,28.817890212014134,19.351305672776622,10.9373,74.9025,20.460500000000003
Ea-C4_R02.txt,10.0%,10.0,5.337921484098939,3.9074369174345693,2.0836,16.1219,3.34,28.3565528975265,8.522807265809059,19.1307,44.6263,24.75535,46.884459858657245,25.159184631328372,20.9904,103.5061,36.762699999999995,12.285038480565373,6.548060947979305,6.438,30.381,9.38665,21.886127879858655,8.626061408291836,12.9244,39.0786,18.0116,34.63447123674912,21.238278631295028,13.9363,83.1171,25.93365
Ea-C4_R03.txt,10.0%,10.0,6.462740918727916,4.444148806248794,2.7766,18.6001,4.145300000000001,31.408827279151943,8.374426298969569,22.2772,46.8686,27.8806,54.8386303533569,26.560062026421825,27.0365,111.9882,44.400549999999996,14.910039081272085,7.567308598512259,8.0785,35.4751,11.65245,24.911025406360423,8.758138299008992,15.7038,41.8199,21.040100000000002,40.992098975265016,22.713621282172287,18.1129,91.8184,32.122699999999995
Ea-C4_R04.txt,10.0%,10.0,5.432635441696114,3.9451540155356852,2.1365,16.3146,3.41455,29.58704236749117,8.63966822865313,20.0835,46.1379,25.9994,49.44182879858657,25.7338525667746,22.4126,106.6792,39.319900000000004,12.951316784452299,6.65980938421037,6.7861,31.1981,10.16675,22.919529752650178,8.80125010314383,13.5968,40.6504,19.12325,36.38232339222614,21.487967970694275,14.8052,85.809,27.9817
